10;03;2
03;10;2
20;34;5
34;20;5
10;23;7
23;10;7
20;15;9
15;20;9
20;70;7
70;20;7
20;67;14
67;20;14
10;21;3
21;10;3
20;76;4
76;20;4
38;73;15
73;38;15
52;10;5
10;52;5
03;23;12
23;03;12
09;20;3
20;09;3
20;10;10
10;20;10
56;10;11
10;56;11
86;10;5
10;86;5
34;27;16
27;34;16
15;26;6
26;15;6
50;26;17
26;50;17
52;97;8
97;52;8
80;31;8
31;80;8
31;12;3
12;31;3
09;86;9
86;09;9
45;73;5
73;45;5
97;45;20
45;97;20
13;50;2
50;13;2
26;13;3
13;26;3
18;56;6
56;18;6
65;50;1
50;65;1
18;97;2
97;18;2
38;12;10
12;38;10
80;65;4
65;80;4
27;38;7
38;27;7
67;31;11
31;67;11
21;34;6
34;21;6
70;67;15
67;70;15
76;80;9
80;76;9
